SN,Name of Car,Brand,Production Year,Old Price,New Price,Color,Type
41,2022 Jeep Wrangler,Jeep,2022," 59,995 ","62,395",Sarge Green,Convertible
42,2015 Ford Mustang,Ford,2015," 28,995 ","30,155",Black,Convertible
43,2015 Audi A3,Audi,2015," 32,800 ","34,112",Red,Convertible
44,2021 Mercedes-Benz E-Class,Mercedes-Benz,2021," 95,910 ","99,746",Silver,Convertible
45,2019 Ford Mustang,Ford,2019," 48,900 ","50,856",Blue,Convertible
46,2022 Ford Bronco,Ford,2022," 74,334 ","77,307",Velocity Blue Metallic,Convertible
47,2000 Ford Mustang,Ford,2000," 10,495 ","10,915",Burgundy,Convertible
48,2013 Smart fortwo,Smart,2013," 9,995 ","10,395",Crystal White,Convertible
49,2013 Audi S5,Audi,2013," 28,888 ","30,044",Black,Convertible
50,2005 Toyota MR2,Toyota,2005," 18,900 ","19,656",Red,Convertible
51,2007 BMW M6,BMW,2007," 49,995 ","51,995",Black,Convertible
52,2023 Jeep Wrangler,Jeep,2023," 64,714 ","67,303",Silver Zynith,Convertible
53,2019 Mazda Miata MX-5,Mazda,2019," 38,888 ","40,444",White,Convertible
54,2022 Ford Bronco,Ford,2022," 75,178 ","78,185",SHADOW BLACK,Convertible
55,2017 Mercedes-Benz SLC,Mercedes-Benz,2017," 55,798 ","58,030",Red,Convertible
56,2017 Ford Mustang,Ford,2017," 45,800 ","47,632",Red,Convertible
57,2006 Ferrari F430,Ferrari,2006," 174,800 ","181,792",Red,Convertible
58,2018 Ford Mustang,Ford,2018," 48,989 ","50,949",ORANGE FURY METALLIC TRI-COAT,Convertible
59,2008 Volkswagen New Beetle,Volkswagen,2008," 12,900 ","13,416",Beige,Convertible
60,2005 Porsche Boxster,Porsche,2005," 25,991 ","27,031",Blue,Convertible
61,2010 Jeep Wrangler,Jeep,2010," 19,400 ","20,176",Black,Convertible
62,2023 Jeep Wrangler,Jeep,2023," 71,459 ","74,317",High Velocity,Convertible
63,2013 Ford Mustang,Ford,2013," 13,000 ","13,520",Black,Convertible
64,2022 Audi R8,Audi,2022," 264,990 ","275,590",Suzuka Gray Metallic,Convertible
65,2020 Ford Mustang,Ford,2020," 42,988 ","44,708",Dark Blue,Convertible
66,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019," 64,800 ","67,392",Polar White,Convertible
67,2018 BMW M4,BMW,2018," 72,800 ","75,712",Tanzanite Blue Metallic,Convertible
68,2006 Chrysler PT Cruiser,Chrysler,2006," 8,988 ","9,348",,Convertible
69,2018 BMW 4 Series,BMW,2018," 46,910 ","48,786",Glacier Silver Metallic,Convertible
70,2011 Maserati GranTurismo,Maserati,2011," 59,910 ","62,306",Black,Convertible
71,2011 Audi A5,Audi,2011," 13,995 ","14,555",Blue,Convertible
72,2007 Mercedes-Benz CLK,Mercedes-Benz,2007," 18,988 ","19,748",Gray,Convertible
73,1990 Chevrolet Corvette,Chevrolet,1990," 13,999 ","14,559",Red,Convertible
74,2014 Jeep Wrangler,Jeep,2014," 23,800 ","24,752",Bright White Clearcoat,Convertible
75,2018 Jeep Wrangler,Jeep,2018," 33,800 ","35,152",FIRECRACKER RED,Convertible
76,2001 Chevrolet Corvette,Chevrolet,2001," 20,400 ","21,216",Speedway White,Convertible
77,2019 Jeep Wrangler,Jeep,2019," 57,795 ","60,107",FIRECRACKER RED,Convertible
78,2007 BMW 328i,BMW,2007," 22,885 ","23,800",Alpine White,Convertible
79,2015 Jeep Wrangler,Jeep,2015," 25,998 ","27,038",Black,Convertible
80,2022 Mercedes-Benz SL-Class,Mercedes-Benz,2022," 228,855 ","238,009",MANUFAKTUR OPALITH WHITE MET,Convertible
81,2021 Mazda Miata MX-5,Mazda,2021," 45,000 ","46,800",Jet Black Mica,Convertible
82,2019 BMW i8,BMW,2019," 146,888 ","152,764",White,Convertible
83,2022 Ford Bronco,Ford,2022," 65,229 ","67,838",Cyber Orange Metallic Tri-Coat,Convertible
84,1976 Triumph Spitfire,Triumph,1976," 11,888 ","12,364",Yellow,Convertible
85,2019 Jeep Wrangler,Jeep,2019," 54,995 ","57,195",Yellow,Convertible
86,2018 Jeep Wrangler,Jeep,2018," 39,995 ","41,595",Granite Crystal Metallic Clearcoat,Convertible
87,2020 Ford Mustang,Ford,2020," 35,995 ","37,435",Blue,Convertible
88,2012 Fiat 500,Fiat,2012," 9,958 ","10,356",Brown,Convertible
89,2021 Jeep Wrangler,Jeep,2021," 69,995 ","72,795",Sting-Grey,Convertible
90,2022 Jeep Wrangler,Jeep,2022," 59,995 ","62,395",Sarge Green,Convertible
91,2015 Ford Mustang,Ford,2015," 28,995 ","30,155",Black,Convertible
92,2015 Audi A3,Audi,2015," 32,800 ","34,112",Red,Convertible
93,2021 Mercedes-Benz E-Class,Mercedes-Benz,2021," 95,910 ","99,746",Silver,Convertible
94,2019 Ford Mustang,Ford,2019," 48,900 ","50,856",Blue,Convertible
95,2022 Ford Bronco,Ford,2022," 74,334 ","77,307",Velocity Blue Metallic,Convertible
96,2000 Ford Mustang,Ford,2000," 10,495 ","10,915",Burgundy,Convertible
97,2013 Smart fortwo,Smart,2013," 9,995 ","10,395",Crystal White,Convertible
98,2013 Audi S5,Audi,2013," 28,888 ","30,044",Black,Convertible
99,2005 Toyota MR2,Toyota,2005," 18,900 ","19,656",Red,Convertible
100,2007 BMW M6,BMW,2007," 49,995 ","51,995",Black,Convertible
101,2023 Jeep Wrangler,Jeep,2023," 64,714 ","67,303",Silver Zynith,Convertible
102,2018 Chevrolet Camaro,Chevrolet,2018," 83,999 ","87,359",Blue,Coupe
103,2001 Volkswagen Beetle,Volkswagen,2001," 79,800 ","82,992",Silver,Coupe
104,2011 Infiniti G Coupe,Infiniti,2011," 12,995 ","13,515",Pearl White,Coupe
105,2019 Nissan 370Z,Nissan,2019," 37,895 ","39,411",Anthracite,Coupe
106,2005 Mazda RX-8,Mazda,2005," 9,995 ","10,395",Black,Coupe
107,2012 BMW 1 Series,BMW,2012," 19,995 ","20,795",White,Coupe
108,2015 Maserati GranTurismo,Maserati,2015," 65,999 ","68,639",Blue,Coupe
109,2019 Audi A5 Sportback,Audi,2019," 44,999 ","46,799",Ibis White,Coupe
110,2021 Porsche Taycan,Porsche,2021," 183,885 ","191,240",White,Coupe
111,2022 Ford Mustang,Ford,2022," 62,484 ","64,983",Mischievous Purple Metallic,Coupe
112,2021 BMW M4,BMW,2021," 109,800 ","114,192",Black Sapphire Metallic,Coupe
113,2022 Dodge Challenger,Dodge,2022," 85,600 ","89,024",Granite Crystal Metallic,Coupe
114,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019," 53,995 ","56,155",Obsidian Black Met,Coupe
115,2014 Aston Martin V8 Vantage,Aston,2014," 86,995 ","90,475",Silver,Coupe
116,2017 Mercedes-Benz C-Class,Mercedes-Benz,2017," 79,995 ","83,195",Iridium Silver Met,Coupe
117,2015 Toyota Corolla,Toyota,2015," 17,485 ","18,184",Alpine White,Coupe
118,2018 Honda Civic,Honda,2018," 29,877 ","31,072",Black,Coupe
119,2015 Honda Civic,Honda,2015," 19,888 ","20,684",Red,Coupe
120,2016 Chevrolet Corvette,Chevrolet,2016," 69,994 ","72,794",Grey,Coupe
121,2016 Chevrolet Corvette,Chevrolet,2016," 67,981 ","70,700",Blade Silver Metallic,Coupe
122,2018 BMW 2 Series,BMW,2018," 43,982 ","45,741",Mineral Grey Metallic,Coupe
123,1986 Pontiac Firebird,Pontiac,1986," 4,800 ","4,992",Red,Coupe
124,2015 Mercedes-Benz C-Class,Mercedes-Benz,2015," 18,000 ","18,720",Black,Coupe
125,1986 Chevrolet Corvette,Chevrolet,1986," 14,900 ","15,496",Silver,Coupe
126,2019 Ford Mustang,Ford,2019," 48,990 ","50,950",Black,Coupe
127,2012 Bentley Continental,Bentley,2012," 106,995 ","111,275",Silver,Coupe
128,1969 Plymouth Barracuda,Plymouth,1969," 49,969 ","51,968",Red,Coupe
129,2013 Hyundai Veloster,Hyundai,2013," 11,995 ","12,475",Red,Coupe
130,1999 Volkswagen New Beetle,Volkswagen,1999," 7,888 ","8,204",Blue,Coupe
131,2020 BMW M2,BMW,2020," 79,888 ","83,084",Silver,Coupe
132,2022 Chevrolet Corvette,Chevrolet,2022," 119,955 ","124,753",Silver Flare Metallic,Coupe
133,2014 Hyundai Veloster,Hyundai,2014," 9,995 ","10,395",Black,Coupe
134,2013 Hyundai Veloster,Hyundai,2013," 9,995 ","10,395",Gray,Coupe
135,2017 Ford Mustang,Ford,2017," 25,888 ","26,924",Gray,Coupe
136,2023 Toyota GR86,Toyota,2023," 31,490 ","32,750",0D4S RAVEN,Coupe
137,2018 Mercedes-Benz C-Class,Mercedes-Benz,2018," 82,800 ","86,112",Gray,Coupe
138,2022 Audi R8,Audi,2022," 239,800 ","249,392",Florett Silver Metallic,Coupe
139,2021 Ford Mustang,Ford,2021," 129,800 ","134,992",Blue,Coupe
140,2015 BMW M4,BMW,2015," 54,800 ","56,992",Gray,Coupe
141,2017 Mercedes-Benz C-Class,Mercedes-Benz,2017," 38,800 ","40,352",Iridium Silver Metallic,Coupe
142,2018 Audi RS 5,Audi,2018," 75,800 ","78,832",Black,Coupe
143,2015 Mercedes-Benz E-Class,Mercedes-Benz,2015," 32,800 ","34,112",White,Coupe
144,2022 Mercedes-Benz AMG,Mercedes-Benz,2022," 158,448 ","164,786",Polar White,Coupe
145,2018 Dodge Challenger,Dodge,2018," 35,990 ","37,430",White,Coupe
146,2019 Ford Mustang,Ford,2019," 57,888 ","60,204",Red,Coupe
147,2016 Ford Mustang,Ford,2016," 35,888 ","37,324",SHADOW BLACK,Coupe
148,2019 Subaru BRZ,Subaru,2019," 35,495 ","36,915",World Rally Blue Pearl,Coupe
149,2019 Honda Civic,Honda,2019," 25,900 ","26,936",Crystal Black Pearl,Coupe
150,2015 BMW i8,BMW,2015," 92,910 ","96,626",Protonic Blue Metallic w/Frozen Grey Accent,Coupe
151,2018 Chevrolet Camaro,Chevrolet,2018," 83,999 ","87,359",Blue,Coupe
152,2001 Volkswagen Beetle,Volkswagen,2001," 79,800 ","82,992",Silver,Coupe
153,2011 Infiniti G Coupe,Infiniti,2011," 12,995 ","13,515",Pearl White,Coupe
154,2019 Nissan 370Z,Nissan,2019," 37,895 ","39,411",Anthracite,Coupe
155,2005 Mazda RX-8,Mazda,2005," 9,995 ","10,395",Black,Coupe
156,2012 BMW 1 Series,BMW,2012," 19,995 ","20,795",White,Coupe
157,2015 Maserati GranTurismo,Maserati,2015," 65,999 ","68,639",Blue,Coupe
158,2019 Audi A5 Sportback,Audi,2019," 44,999 ","46,799",Ibis White,Coupe
159,2021 Porsche Taycan,Porsche,2021," 183,885 ","191,240",White,Coupe
160,2022 Ford Mustang,Ford,2022," 62,484 ","64,983",Mischievous Purple Metallic,Coupe
161,2021 BMW M4,BMW,2021," 109,800 ","114,192",Black Sapphire Metallic,Coupe
162,2022 Dodge Challenger,Dodge,2022," 85,600 ","89,024",Granite Crystal Metallic,Coupe
163,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019," 53,995 ","56,155",Obsidian Black Met,Coupe
164,2014 Aston Martin V8 Vantage,Aston,2014," 86,995 ","90,475",Silver,Coupe
165,2017 Mercedes-Benz C-Class,Mercedes-Benz,2017," 79,995 ","83,195",Iridium Silver Met,Coupe
166,2015 Toyota Corolla,Toyota,2015," 17,485 ","18,184",Alpine White,Coupe
167,2018 Honda Civic,Honda,2018," 29,877 ","31,072",Black,Coupe
168,2015 Honda Civic,Honda,2015," 19,888 ","20,684",Red,Coupe
169,2016 Chevrolet Corvette,Chevrolet,2016," 69,994 ","72,794",Grey,Coupe
170,2016 Chevrolet Corvette,Chevrolet,2016," 67,981 ","70,700",Blade Silver Metallic,Coupe
171,2018 BMW 2 Series,BMW,2018," 43,982 ","45,741",Mineral Grey Metallic,Coupe
172,1986 Pontiac Firebird,Pontiac,1986," 4,800 ","4,992",Red,Coupe
173,2015 Mercedes-Benz C-Class,Mercedes-Benz,2015," 18,000 ","18,720",Black,Coupe
174,1986 Chevrolet Corvette,Chevrolet,1986," 14,900 ","15,496",Silver,Coupe
175,2019 Ford Mustang,Ford,2019," 48,990 ","50,950",Black,Coupe
176,2012 Bentley Continental,Bentley,2012," 106,995 ","111,275",Silver,Coupe
177,1969 Plymouth Barracuda,Plymouth,1969," 49,969 ","51,968",Red,Coupe
178,2013 Hyundai Veloster,Hyundai,2013," 11,995 ","12,475",Red,Coupe
179,1999 Volkswagen New Beetle,Volkswagen,1999," 7,888 ","8,204",Blue,Coupe
180,2020 BMW M2,BMW,2020," 79,888 ","83,084",Silver,Coupe
181,2022 Chevrolet Corvette,Chevrolet,2022," 119,955 ","124,753",Silver Flare Metallic,Coupe
182,2014 Hyundai Veloster,Hyundai,2014," 9,995 ","10,395",Black,Coupe
183,2013 Hyundai Veloster,Hyundai,2013," 9,995 ","10,395",Gray,Coupe
184,2017 Ford Mustang,Ford,2017," 25,888 ","26,924",Gray,Coupe
185,2023 Toyota GR86,Toyota,2023," 31,490 ","32,750",0D4S RAVEN,Coupe
186,2018 Mercedes-Benz C-Class,Mercedes-Benz,2018," 82,800 ","86,112",Gray,Coupe
187,2022 Audi R8,Audi,2022," 239,800 ","249,392",Florett Silver Metallic,Coupe
188,2021 Ford Mustang,Ford,2021," 129,800 ","134,992",Blue,Coupe
189,2015 BMW M4,BMW,2015," 54,800 ","56,992",Gray,Coupe
190,2017 Mercedes-Benz C-Class,Mercedes-Benz,2017," 38,800 ","40,352",Iridium Silver Metallic,Coupe
191,2018 Audi RS 5,Audi,2018," 75,800 ","78,832",Black,Coupe
192,2015 Mercedes-Benz E-Class,Mercedes-Benz,2015," 32,800 ","34,112",White,Coupe
193,2022 Mercedes-Benz AMG,Mercedes-Benz,2022," 158,448 ","164,786",Polar White,Coupe
194,2018 Dodge Challenger,Dodge,2018," 35,990 ","37,430",White,Coupe
195,2019 Ford Mustang,Ford,2019," 57,888 ","60,204",Red,Coupe
196,2016 Ford Mustang,Ford,2016," 35,888 ","37,324",SHADOW BLACK,Coupe
197,2019 Subaru BRZ,Subaru,2019," 35,495 ","36,915",World Rally Blue Pearl,Coupe
198,2019 Honda Civic,Honda,2019," 25,900 ","26,936",Crystal Black Pearl,Coupe
199,2015 BMW i8,BMW,2015," 92,910 ","96,626",Protonic Blue Metallic w/Frozen Grey Accent,Coupe
200,2018 Chevrolet Camaro,Chevrolet,2018," 83,999 ","87,359",Blue,Coupe
201,2001 Volkswagen Beetle,Volkswagen,2001," 79,800 ","82,992",Silver,Coupe
202,2011 Infiniti G Coupe,Infiniti,2011," 12,995 ","13,515",Pearl White,Coupe
203,2022 Toyota RAV4,Toyota,2022," 34,945 ","36,343",03T3 RUBY FLARE PEARL,Hybrid/Electric
204,2022 Toyota RAV4,Toyota,2022," 34,690 ","36,078",01G3 MAGNETIC GREY METALLIC,Hybrid/Electric
205,2022 Kia Sorento,Kia,2022," 57,980 ","60,299",Blue,Hybrid/Electric
206,2021 Toyota RAV4,Toyota,2021," 51,991 ","54,071",Black,Hybrid/Electric
207,2012 Ford Escape,Ford,2012," 6,699 ","6,967",Grey,Hybrid/Electric
208,2022 Ford F-150,Ford,2022," 85,045 ","88,447",Smoked Quartz Tinted Clearcoat Metallic,Hybrid/Electric
209,2022 Ford F-150,Ford,2022," 85,145 ","88,551",STAR WHITE METALLIC TRI-COAT,Hybrid/Electric
210,2022 Tesla Model Y,Tesla,2022," 96,995 ","100,875",Solid Black,Hybrid/Electric
211,2022 Jeep Grand Wagoneer,Jeep,2022," 102,070 ","106,153",Blue,Hybrid/Electric
212,2022 Ford Escape,Ford,2022," 46,049 ","47,891",Blue,Hybrid/Electric
213,2009 Honda Civic,Honda,2009," 12,990 ","13,510",Taffeta White,Hybrid/Electric
214,2022 Ford F-150,Ford,2022," 86,600 ","90,064",STAR WHITE METALLIC TRI-COAT,Hybrid/Electric
215,2022 Ford F-150,Ford,2022," 86,020 ","89,461",Agate Black Metallic,Hybrid/Electric
216,2022 Toyota Sienna,Toyota,2022," 68,900 ","71,656",Silver,Hybrid/Electric
217,2020 Toyota Prius,Toyota,2020," 37,995 ","39,515",Red,Hybrid/Electric
218,2020 Toyota Prius,Toyota,2020," 37,995 ","39,515",Red,Hybrid/Electric
219,2022 Tesla Model 3,Tesla,2022," 83,888 ","87,244",White,Hybrid/Electric
220,2022 Hyundai Santa Fe,Hyundai,2022," 49,307 ","51,279",White,Hybrid/Electric
221,2022 Hyundai Santa Fe,Hyundai,2022," 43,939 ","45,697",Black,Hybrid/Electric
222,2022 Hyundai Santa Fe,Hyundai,2022," 56,995 ","59,275",Grey,Hybrid/Electric
223,2021 Hyundai Santa Fe,Hyundai,2021," 49,995 ","51,995",LAGOON BLUE,Hybrid/Electric
224,2022 Ford F-150,Ford,2022," 97,629 ","101,534",Antimatter Blue Metallic,Hybrid/Electric
225,2022 Chrysler Pacifica,Chrysler,2022," 67,100 ","69,784",Granite Crystal Metallic,Hybrid/Electric
226,2022 Chevrolet Bolt,Chevrolet,2022," 52,800 ","54,912",SUMMIT WHITE,Hybrid/Electric
227,2018 Nissan Leaf,Nissan,2018," 39,998 ","41,598",Red,Hybrid/Electric
228,2019 Tesla Model 3,Tesla,2019," 78,980 ","82,139",White,Hybrid/Electric
229,2022 Tesla Model 3,Tesla,2022," 80,999 ","84,239",Pearl White Multi-Coat,Hybrid/Electric
230,2022 Tesla Model 3,Tesla,2022," 80,999 ","84,239",Pearl White Multi-Coat,Hybrid/Electric
231,2023 BMW iX,BMW,2023," 104,698 ","108,886",Black Sapphire Metallic,Hybrid/Electric
232,2023 Hyundai KONA electric,Hyundai,2023," 59,995 ","62,395",Black,Hybrid/Electric
233,2022 Toyota Sienna,Toyota,2022," 67,895 ","70,611",Red,Hybrid/Electric
234,2022 Tesla Model Y,Tesla,2022," 103,950 ","108,108",White,Hybrid/Electric
235,2019 Ford Fusion,Ford,2019," 27,488 ","28,588",Grey,Hybrid/Electric
236,2020 Volvo XC60,Volvo,2020," 64,998 ","67,598",Black,Hybrid/Electric
237,2022 Ford Escape,Ford,2022," 45,349 ","47,163",Rapid Red Metallic Tinted Clearcoat,Hybrid/Electric
238,2022 Ford Escape,Ford,2022," 42,469 ","44,168",Carbonized Grey Metallic,Hybrid/Electric
239,2022 Ford Escape,Ford,2022," 42,394 ","44,090",Agate Black,Hybrid/Electric
240,2018 Kia Optima,Kia,2018," 23,995 ","24,955",Graph,Hybrid/Electric
241,2022 Chrysler Pacifica,Chrysler,2022," 68,999 ","71,759",,Hybrid/Electric
242,2022 Ford Escape,Ford,2022," 46,649 ","48,515",Carbonized Grey Metallic,Hybrid/Electric
243,2021 Toyota RAV4,Toyota,2021," 48,995 ","50,955",White,Hybrid/Electric
244,2018 Chevrolet Volt,Chevrolet,2018," 32,995 ","34,315",Grey,Hybrid/Electric
245,2022 Tesla Model Y,Tesla,2022," 97,995 ","101,915",Deep Blue Metallic,Hybrid/Electric
246,2021 Jeep Wrangler,Jeep,2021," 61,995 ","64,475",Green,Hybrid/Electric
247,2020 Honda Accord,Honda,2020," 40,998 ","42,638",White,Hybrid/Electric
248,2019 Nissan Leaf,Nissan,2019," 39,955 ","41,553",Gray,Hybrid/Electric
249,2020 Toyota Camry,Toyota,2020," 36,500 ","37,960",White,Hybrid/Electric
250,2022 Jeep Grand Cherokee,Jeep,2022," 92,595 ","96,299",White,Hybrid/Electric
251,2022 Chrysler Pacifica,Chrysler,2022," 61,741 ","64,211",White,Hybrid/Electric
252,2022 Toyota RAV4,Toyota,2022," 34,945 ","36,343",03T3 RUBY FLARE PEARL,Hybrid/Electric
253,2022 Toyota RAV4,Toyota,2022," 34,690 ","36,078",01G3 MAGNETIC GREY METALLIC,Hybrid/Electric
254,2022 Kia Sorento,Kia,2022," 57,980 ","60,299",Blue,Hybrid/Electric
255,2021 Toyota RAV4,Toyota,2021," 51,991 ","54,071",Black,Hybrid/Electric
256,2012 Ford Escape,Ford,2012," 6,699 ","6,967",Grey,Hybrid/Electric
257,2022 Ford F-150,Ford,2022," 85,045 ","88,447",Smoked Quartz Tinted Clearcoat Metallic,Hybrid/Electric
258,2022 Ford F-150,Ford,2022," 85,145 ","88,551",STAR WHITE METALLIC TRI-COAT,Hybrid/Electric
259,2022 Tesla Model Y,Tesla,2022," 96,995 ","100,875",Solid Black,Hybrid/Electric
260,2022 Jeep Grand Wagoneer,Jeep,2022," 102,070 ","106,153",Blue,Hybrid/Electric
261,2022 Ford Escape,Ford,2022," 46,049 ","47,891",Blue,Hybrid/Electric
262,2009 Honda Civic,Honda,2009," 12,990 ","13,510",Taffeta White,Hybrid/Electric
263,2022 Ford F-150,Ford,2022," 86,600 ","90,064",STAR WHITE METALLIC TRI-COAT,Hybrid/Electric
264,2022 Ford F-150,Ford,2022," 86,020 ","89,461",Agate Black Metallic,Hybrid/Electric
265,2022 Toyota Sienna,Toyota,2022," 68,900 ","71,656",Silver,Hybrid/Electric
266,2020 Toyota Prius,Toyota,2020," 37,995 ","39,515",Red,Hybrid/Electric
267,2020 Toyota Prius,Toyota,2020," 37,995 ","39,515",Red,Hybrid/Electric
268,2022 Tesla Model 3,Tesla,2022," 83,888 ","87,244",White,Hybrid/Electric
269,2022 Hyundai Santa Fe,Hyundai,2022," 49,307 ","51,279",White,Hybrid/Electric
270,2022 Hyundai Santa Fe,Hyundai,2022," 43,939 ","45,697",Black,Hybrid/Electric
271,2022 Hyundai Santa Fe,Hyundai,2022," 56,995 ","59,275",Grey,Hybrid/Electric
272,2021 Hyundai Santa Fe,Hyundai,2021," 49,995 ","51,995",LAGOON BLUE,Hybrid/Electric
273,2022 Ford F-150,Ford,2022," 97,629 ","101,534",Antimatter Blue Metallic,Hybrid/Electric
274,2022 Chrysler Pacifica,Chrysler,2022," 67,100 ","69,784",Granite Crystal Metallic,Hybrid/Electric
275,2022 Chevrolet Bolt,Chevrolet,2022," 52,800 ","54,912",SUMMIT WHITE,Hybrid/Electric
276,2018 Nissan Leaf,Nissan,2018," 39,998 ","41,598",Red,Hybrid/Electric
277,2019 Tesla Model 3,Tesla,2019," 78,980 ","82,139",White,Hybrid/Electric
278,2022 Tesla Model 3,Tesla,2022," 80,999 ","84,239",Pearl White Multi-Coat,Hybrid/Electric
279,2022 Tesla Model 3,Tesla,2022," 80,999 ","84,239",Pearl White Multi-Coat,Hybrid/Electric
280,2023 BMW iX,BMW,2023," 104,698 ","108,886",Black Sapphire Metallic,Hybrid/Electric
281,2023 Hyundai KONA electric,Hyundai,2023," 59,995 ","62,395",Black,Hybrid/Electric
282,2022 Toyota Sienna,Toyota,2022," 67,895 ","70,611",Red,Hybrid/Electric
283,2022 Tesla Model Y,Tesla,2022," 103,950 ","108,108",White,Hybrid/Electric
284,2019 Ford Fusion,Ford,2019," 27,488 ","28,588",Grey,Hybrid/Electric
285,2020 Volvo XC60,Volvo,2020," 64,998 ","67,598",Black,Hybrid/Electric
286,2022 Ford Escape,Ford,2022," 45,349 ","47,163",Rapid Red Metallic Tinted Clearcoat,Hybrid/Electric
287,2022 Ford Escape,Ford,2022," 42,469 ","44,168",Carbonized Grey Metallic,Hybrid/Electric
288,2022 Ford Escape,Ford,2022," 42,394 ","44,090",Agate Black,Hybrid/Electric
289,2018 Kia Optima,Kia,2018," 23,995 ","24,955",Graph,Hybrid/Electric
290,2022 Chrysler Pacifica,Chrysler,2022," 68,999 ","71,759",,Hybrid/Electric
291,2022 Ford Escape,Ford,2022," 46,649 ","48,515",Carbonized Grey Metallic,Hybrid/Electric
292,2021 Toyota RAV4,Toyota,2021," 48,995 ","50,955",White,Hybrid/Electric
293,2018 Chevrolet Volt,Chevrolet,2018," 32,995 ","34,315",Grey,Hybrid/Electric
294,2022 Tesla Model Y,Tesla,2022," 97,995 ","101,915",Deep Blue Metallic,Hybrid/Electric
295,2021 Jeep Wrangler,Jeep,2021," 61,995 ","64,475",Green,Hybrid/Electric
296,2020 Honda Accord,Honda,2020," 40,998 ","42,638",White,Hybrid/Electric
